Report Period,Institution ID,Institution Name,Percent Medical Exemptions,Percent Religious Exemptions,Percent Immunized Measles,Percent Immunized Mumps,Percent Immunized Rubella,Percent Completely Immunized,Street Address,City,State,Zip Code,Location 
2018-2019,72342266,CUNY GRADUATE SCHOOL OF PUBLIC HEALTH PO,0.22,0.22,96.3,97.8,98.7,96.3,55 WEST 125TH STREET,NEW YORK,NY,10027,"55 WEST 125TH STREET
NEW YORK, NY 10027
(40.80730177200007, -73.94425309999997)"
2018-2019,73332342,RABBINICAL COLLEGE OHR SHIMON YISROEL,0.00,0,99.1,99.1,99.1,99.1,215-217 HEWES ST.,BROOKLYN,NY,11211,"215-217 HEWES ST.
BROOKLYN, NY 11211
(40.70423015800003, -73.95674592199998)"
2018-2019,11111111,WORD OF LIFE BIBLE INSTITUTE,0.55,4.37,93.7,93.7,93.7,93.7,4200 GLENDALE RD,POTTERSVILLE,NY,12860,"4200 GLENDALE RD
POTTERSVILLE, NY 12860
(43.72957668000004, -73.81223111499997)"
2018-2019,43142122,D'YOUVILLE COLLEGE,0.07,0.26,99.6,99.7,99.6,99.6,320 PORTER AVE,BUFFALO,NY,14201,"320 PORTER AVE
BUFFALO, NY 14201
(42.90225693900004, -78.89054644099997)"
2018-2019,73313193,GENERAL THEOLOGICAL SEMINARY,0.00,0,100,100,100,100,440 W 21ST STREET,NEW YORK,NY,10011,"440 W 21ST STREET
NEW YORK, NY 10011
(40.745599911000056, -74.00328032799996)"
2018-2019,73332334,KEHILATH YAKOV RABBINICAL SEMINARY,0.00,3.57,96.4,96.4,96.4,96.4,638 BEDFORD AVE,BROOKLYN,NY,10036,"638 BEDFORD AVE
BROOKLYN, NY 10036
(40.70218502200004, -73.95900070999994)"
2018-2019,72332244,CUNY BROOKLYN COLLEGE,0.16,0.03,99.8,99.8,99.8,99.8,2900 BEDFORD AVE,BROOKLYN,NY,11210,"2900 BEDFORD AVE
BROOKLYN, NY 11210
(40.63176000000004, -73.95348149999995)"
2018-2019,11531034,SCHENECTADY COUNTY COMMUNITY COLLEGE,0.18,0.43,99.2,99.4,99.4,99.2,78 WASHINGTON AVE,SCHENECTADY,NY,12305,"78 WASHINGTON AVE
SCHENECTADY, NY 12305
(42.815043596000066, -73.94927729599993)"
2018-2019,21512075,SUNY COLLEGE AT POTSDAM,0.00,0.2,99.8,99.8,99.8,99.8,44 PIERREPONT AVENUE,POTSDAM,NY,13676,"44 PIERREPONT AVENUE
POTSDAM, NY 13676
(44.66371040200005, -74.97852274599995)"
2018-2019,53502150,FEI TIAN COLLEGE,0.00,0,58.1,67.7,67.7,58.1,140 GALLEY HILL RD,CUDDLEBACKVILLE,NY,12729,"140 GALLEY HILL RD
CUDDLEBACKVILLE, NY 12729
(41.45294700000005, -74.58918749999998)"
2018-2019,53662157,MERCY COLLEGE,0.09,0.16,99.6,99.6,99.6,99.6,555 BROADWAY,DOBBS FERRY,NY,10522,"555 BROADWAY
DOBBS FERRY, NY 10522
(41.02137000000005, -73.86997049999997)"
2018-2019,63282703,NEW YORK INSTITUTE OF TECHNOLOGY,0.16,0.06,99.7,99.8,99.8,99.7,,OLD WESTBURY,NY,11568,"OLD WESTBURY, NY 11568
(40.78525220000006, -73.59645019999994)"
2018-2019,64581293,LONG ISLAND BUSINESS INSTITUTE - FLUSHIN,0.43,0.22,99.4,99.4,99.4,99.4,136-18 39TH AVE,FLUSHING,NY,11354,"136-18 39TH AVE
FLUSHING, NY 11354
(40.76038912200005, -73.82950926099994)"
2018-2019,21051044,CAYUGA COUNTY COMMUNITY COLLEGE,0.00,0.42,99.6,99.6,99.6,99.6,197 FRANKLIN ST,AUBURN,NY,13021,"197 FRANKLIN ST
AUBURN, NY 13021
(42.94244415700007, -76.54274028999998)"
2018-2019,13132016,BARD COLLEGE,0.10,0.25,96.5,96.5,96.5,96.5,30 CAMPUS RD,ANNANDALE ON HUDSON,NY,12504,"30 CAMPUS RD
ANNANDALE ON HUDSON, NY 12504
(42.01922076300008, -73.90718779799994)"
2018-2019,13533033,MID-AMERICA BAPTIST THEOLOGICAL SEMINARY,0.00,0,100,100,100,100,2810 CURRY ROAD EXTENSION,SCHENECTADY,NY,12303,"2810 CURRY ROAD EXTENSION
SCHENECTADY, NY 12303
(42.74381109300003, -73.90338615499996)"
2018-2019,13132019,MARIST COLLEGE,0.13,0.43,99.4,99.4,99.4,99.4,290 NORTH RD,POUGHKEEPSIE,NY,12601,"290 NORTH RD
POUGHKEEPSIE, NY 12601
(41.72197500000004, -73.93406849999997)"
2018-2019,73313228,UNION THEOLOGICAL SEMINARY (UTS),0.00,0,100,100,100,100,3041 BROADWAY,NEW YORK,NY,10027,"3041 BROADWAY
NEW YORK, NY 10027
(40.81113884200005, -73.96176873399997)"
2018-2019,21422070,SUNY HEALTH SCIENCE CENTER AT SYRACUSE,0.00,0,99.2,98.8,99.3,98.8,750 E ADAMS ST,SYRACUSE,NY,13210,"750 E ADAMS ST
SYRACUSE, NY 13210
(43.042095000000074, -76.14024749999999)"
2018-2019,11621039,ULSTER COUNTY COMMUNITY COLLEGE,0.13,0.63,98.4,98.5,98.5,98.4,491 COTTEKILL RD,STONE RIDGE,NY,12484,"491 COTTEKILL RD
STONE RIDGE, NY 12484
(41.851368000000036, -74.12744699999996)"
2018-2019,64581291,LONG ISLAND BUSINESS INSTITUTE - COMMACK,0.00,0,100,100,100,100,6500 JERICHO TURNPIKE,COMMACK,NY,11725,"6500 JERICHO TURNPIKE
COMMACK, NY 11725
(40.84182000000004, -73.29197699999997)"
2018-2019,41181132,GENESEE COMMUNITY COLLEGE,0.18,0.4,97.8,98.1,98.1,97.8,1 COLLEGE RD,BATAVIA,NY,14020,"1 COLLEGE RD
BATAVIA, NY 14020
(43.01645400000007, -78.13892899699994)"
2018-2019,44141117,BRYANT & STRATTON COLLEGE - EASTERN HILL,0.00,0,97.9,97.5,97.9,97,3650 MILLERSPORT HIGHWAY,GETZVILLE,NY,14068,"3650 MILLERSPORT HIGHWAY
GETZVILLE, NY 14068
(43.039946728000075, -78.74204400999997)"
2018-2019,72313187,CUNY GRAD SCHOOL & UNIVERSITY CENTER,0.00,0.14,98.6,98.8,98.8,98.6,365 FIFTH AVE ROOM 8201,NEW YORK,NY,10016,"365 FIFTH AVE ROOM 8201
NEW YORK, NY 10016
(40.748816033000026, -73.98425306699994)"
2018-2019,53663165,ST JOSEPH'S SEMINARY & COLLEGE,0.52,0,78.6,78.6,78.6,78.6,201 SEMINARY AVE,YONKERS,NY,10704,"201 SEMINARY AVE
YONKERS, NY 10704
(40.93100494200007, -73.86219537699998)"
2018-2019,71322241,SUNY MARITIME COLLEGE,0.00,0.39,95.7,95.7,95.7,95.7,6 PENNYFIELD AVE,BRONX,NY,10465,"6 PENNYFIELD AVE
BRONX, NY 10465
(40.809218341000076, -73.80203712299993)"
2018-2019,13013002,ALBANY COLLEGE OF PHARMACY,0.00,0,99.8,100,100,99.8,106 NEW SCOTLAND AVE,ALBANY,NY,12208,"106 NEW SCOTLAND AVE
ALBANY, NY 12208
(42.65257018300008, -73.77855611199993)"
2018-2019,21221050,JEFFERSON COMMUNITY COLLEGE,0.05,0.21,98.1,98.4,98.4,98.1,1220 COFFEEN ST,WATERTOWN,NY,13601,"1220 COFFEEN ST
WATERTOWN, NY 13601
(43.98716468400005, -75.93905926899998)"
2018-2019,33262103,TALMUDICAL INSTITUTE OF UPSTATE NEW YORK,0.00,0,100,100,100,100,769 PARK AVE,ROCHESTER,NY,14607,"769 PARK AVE
ROCHESTER, NY 14607
(43.14724657000005, -77.57486728099997)"
2018-2019,73333242,BROOKLYN LAW SCHOOL,0.19,0.09,97.9,99.5,99.5,97.9,250 JORALEMON ST,BROOKLYN,NY,11201,"250 JORALEMON ST
BROOKLYN, NY 11201
(40.692312893000064, -73.98964602399997)"
2018-2019,53662150,MANHATTANVILLE COLLEGE,0.04,0.24,99,99,99,99,2900 PURCHASE ST,PURCHASE,NY,10577,"2900 PURCHASE ST
PURCHASE, NY 10577
(41.03066840400004, -73.71275787499997)"
2018-2019,73312180,METROPOLITAN COLLEGE OF NY,0.40,0,99.6,99.6,99.6,99.6,75 VARICK ST,NEW YORK,NY,10013,"75 VARICK ST
NEW YORK, NY 10013
(40.72328100000004, -74.00639699999994)"
2018-2019,21512076,SUNY COLLEGE OF TECHNOLOGY AT CANTON,0.04,0.22,99.7,99.7,99.7,99.7,34 CORNELL DR,CANTON,NY,13617,"34 CORNELL DR
CANTON, NY 13617
(44.60224176100007, -75.18599374799999)"
2018-2019,24031010,ELMIRA BUSINESS INSTITUTE,0.00,0,100,100,100,100,303 N. MAIN ST,ELMIRA,NY,14901,"303 N. MAIN ST
ELMIRA, NY 14901
(42.09026190600008, -76.80852051299996)"
2018-2019,73322234,COLLEGE OF MOUNT SAINT VINCENT,0.00,0,99.9,100,100,99.9,6301 RIVERDALE AVE,BRONX,NY,10471,"6301 RIVERDALE AVE
BRONX, NY 10471
(40.912641000000065, -73.90284299999996)"
2018-2019,13161025,PAUL SMITH'S COLLEGE,0.11,0.11,99.6,99.6,99.6,99.6,ROUTES 86 AND 30,PAUL SMITHS,NY,12970,"ROUTES 86 AND 30
PAUL SMITHS, NY 12970
(44.43664589400004, -74.20351948299998)"
2018-2019,72342264,CUNY SCHOOL OF PROFESSIONAL STUDIES,0.42,0,96.3,96.3,96.3,96.3,101 WEST 31ST ST 12TH FLOOR,NEW YORK,NY,10010,"101 WEST 31ST ST 12TH FLOOR
NEW YORK, NY 10010
(40.74820200000005, -73.98934199999997)"
2018-2019,61281281,NEW YORK COLLEGE OF HEALTH PROFESSIONS,0.39,2.15,95.9,95.9,95.9,95.9,6801 JERICHO TURNPIKE SUITE 300,SYOSSET,NY,11791,"6801 JERICHO TURNPIKE SUITE 300
SYOSSET, NY 11791
(40.809018120000076, -73.51597587699996)"
2018-2019,63582290,LONG ISLAND UNIVERSTIY- RIVERHEAD,0.00,0,100,100,100,100,121 SPEONK-RIVERHEAD RD,RIVERHEAD,NY,11901,"121 SPEONK-RIVERHEAD RD
RIVERHEAD, NY 11901
(40.87764000000004, -72.70133399999997)"
2018-2019,72341271,PACIFIC COLLEGE OF ORIENTAL MEDICINE,1.79,2.39,94,94.6,94.6,94,915 BROADWAY-THIRD FL,NEW YORK,NY,10107,"915 BROADWAY-THIRD FL
NEW YORK, NY 10107
(40.73969206500004, -73.98965525499995)"
2018-2019,73313214,NEW YORK THEOLOGICAL SEMINARY,0.00,0,98.5,98.5,98.5,98.5,"475 RIVERSIDE DR, SUITE 500",NEW YORK,NY,10115,"475 RIVERSIDE DR, SUITE 500
NEW YORK, NY 10115
(40.81081500000005, -73.96372799999995)"
2018-2019,41141128,ERIE COMMUNITY COLLEGE CITY CAMPUS,0.10,0.19,98.7,98.4,98.5,98.4,121 ELLICOTT STREET ROOM 118,BUFFALO,NY,14203,"121 ELLICOTT STREET ROOM 118
BUFFALO, NY 14203
(42.882098109000026, -78.87315188899998)"
2018-2019,73312231,NEW YORK STUDIO SCHOOL,0.00,0,95.2,95.2,95.2,95.2,8 WEST 8TH ST,NEW YORK,NY,10011,"8 WEST 8TH ST
NEW YORK, NY 10011
(40.73258364800006, -73.99721024699994)"
2018-2019,43142126,MEDAILLE COLLEGE,0.00,0,100,100,100,100,18 AGASSIZ CIRCLE,BUFFALO,NY,14214,"18 AGASSIZ CIRCLE
BUFFALO, NY 14214
(42.92962216500007, -78.85516602199993)"
2018-2019,31262101,SUNY COLLEGE AT BROCKPORT,0.04,0.14,98.7,98.9,98.9,98.7,350 NEW CAMPUS DR,BROCKPORT,NY,14420,"350 NEW CAMPUS DR
BROCKPORT, NY 14420
(43.20996300000007, -77.95214099999998)"
2018-2019,53662144,COLLEGE OF NEW ROCHELLE - MAIN CAMPUS,0.05,0.1,99.7,99.9,99.9,99.7,29 CASTLE PL,NEW ROCHELLE,NY,10805,"29 CASTLE PL
NEW ROCHELLE, NY 10805
(40.901463000000035, -73.78097849999995)"
2018-2019,73332350,YESHIVA GEDOLAH IMREI YOSEF D'SPINKA,0.00,3.85,96.2,96.2,96.2,96.2,1466 56TH ST.,BROOKLYN,NY,11219,"1466 56TH ST.
BROOKLYN, NY 11219
(40.62877328900004, -73.99239511099995)"
2018-2019,23212049,HOLY TRINITY ORTHODOX SEMINARY,4.35,21.74,65.2,73.9,73.9,65.2,CORNER ROBINSON RD & RT 167,JORDANVILLE,NY,13361,"CORNER ROBINSON RD & RT 167
JORDANVILLE, NY 13361
(42.92447400000003, -74.93471099999994)"
2018-2019,73311171,AMERICAN ACADEMY MCALLISTER INSTITUTE,0.00,0,100,100,100,100,619 W 54TH ST 6TH FLOOR,NEW YORK,NY,10019,"619 W 54TH ST 6TH FLOOR
NEW YORK, NY 10019
(40.76886462700003, -73.99386082799998)"
2018-2019,53501111,SALVATION ARMY SCHOOL FOR OFFICER TRAINI,0.00,0,95.1,98.4,96.7,93.4,201 LAFAYETTE AVE,SUFFERN,NY,10901,"201 LAFAYETTE AVE
SUFFERN, NY 10901
(41.11369732300005, -74.14060027899995)"
2018-2019,33262096,ROBERTS WESLEYAN COLLEGE,0.00,0.2,91.9,91.9,91.9,91.9,2301 WESTSIDE DR,ROCHESTER,NY,14624,"2301 WESTSIDE DR
ROCHESTER, NY 14624
(43.12355400000007, -77.79995549999995)"
2018-2019,53502135,DOMINICAN COLLEGE OF BLAUVELT,0.00,0,98.2,98.3,98.3,98.2,470 WESTERN HWY,ORANGEBURG,NY,10962,"470 WESTERN HWY
ORANGEBURG, NY 10962
(41.05161106000003, -73.95210996999998)"
2018-2019,43141130,TROCAIRE COLLEGE,0.00,0,100,100,100,100,360 CHOATE AVENUE,BUFFALO,NY,14220,"360 CHOATE AVENUE
BUFFALO, NY 14220
(42.84676803600007, -78.81189203699995)"
2018-2019,73312329,AMERICAN MUSEUM OF NATURAL HISTORY PHD P,0.00,0,100,100,100,100,CENTRAL PARK WEST @ 79TH STREET,NEW YORK,NY,10024,"CENTRAL PARK WEST @ 79TH STREET
NEW YORK, NY 10024
(40.779945000000055, -73.97102249999995)"
2018-2019,11012012,SUNY ALBANY,0.03,0.21,99.6,99.7,99.7,99.6,1400 WASHINGTON AVE,ALBANY,NY,12222,"1400 WASHINGTON AVE
ALBANY, NY 12222
(42.69076751800003, -73.82303221799998)"
2018-2019,73332254,ST FRANCIS COLLEGE,0.00,0.42,98.5,98.5,98.5,98.5,180 REMSEN ST Room 8301,BROOKLYN,NY,11201,"180 REMSEN ST Room 8301
BROOKLYN, NY 11201
(40.69338344100004, -73.99204077899998)"
2018-2019,23512075,CLARKSON UNIVERSITY,0.00,0.16,99.8,99.8,99.8,99.8,,POTSDAM,NY,13699,"POTSDAM, NY 13699
(44.66414590000005, -74.99824649999994)"
2018-2019,72341266,CUNY QUEENSBOROUGH COMMUNITY COLLEGE,0.01,0.06,99.9,99.9,99.9,99.9,SPRINGFIELD BOULEVARD & 56TH AVE,BAYSIDE,NY,11364,"SPRINGFIELD BOULEVARD & 56TH AVE
BAYSIDE, NY 11364
(40.752432000000056, -73.75944149999998)"
2018-2019,73312200,THE JUILLIARD SCHOOL,0.00,0.24,99.8,99.8,99.8,99.8,70 LINCOLN CTR PLZ   22ND FL,NEW YORK,NY,10023,"70 LINCOLN CTR PLZ   22ND FL
NEW YORK, NY 10023
(40.77406800000006, -73.98436949999996)"
2018-2019,11131018,DUTCHESS COMMUNITY COLLEGE,0.06,0.49,96.6,97,97,96.6,53 PENDELL RD,POUGHKEEPSIE,NY,12601,"53 PENDELL RD
POUGHKEEPSIE, NY 12601
(41.72476500000005, -73.90505699999994)"
2018-2019,73313195,HEBREW UNION COLLEGE - JEWISH INSTITUTE,0.00,0,97.1,97.1,97.1,97.1,1 W 4TH ST,NEW YORK,NY,10012,"1 W 4TH ST
NEW YORK, NY 10012
(40.728737598000066, -73.99485770099994)"
2018-2019,23052045,WELLS COLLEGE,0.00,0.21,99.8,99.8,99.8,99.8,18 WELLS ROAD,AURORA,NY,13026,"18 WELLS ROAD
AURORA, NY 13026
(42.74742556900003, -76.69886631199995)"
2018-2019,43141131,VILLA MARIA COLLEGE OF BUFFALO,0.19,0.95,98.5,98.7,98.7,98.5,240 PINE RIDGE RD,BUFFALO,NY,14225,"240 PINE RIDGE RD
BUFFALO, NY 14225
(42.912747000000024, -78.79718249999996)"
2018-2019,73332335,MACHZIKEL HADATH RABBINICAL COLLEGE,0.00,0.68,94.6,95.3,95.3,94.6,5407 16TH AVE,BROOKLYN,NY,11204,"5407 16TH AVE
BROOKLYN, NY 11204
(40.62805912500005, -73.98855902699995)"
2018-2019,31431103,FINGER LAKES COMMUNITY COLLEGE,0.11,0.41,99.3,99.3,99.3,99.3,4355 LAKESHORE DR,CANANDAIGUA,NY,14424,"4355 LAKESHORE DR
CANANDAIGUA, NY 14424
(42.87541905300003, -77.26094838899996)"
2018-2019,72331250,CUNY MEDGAR EVERS COLLEGE,0.07,0.1,84.5,84.6,84.7,84.2,1650 BEDFORD AVE,BROOKLYN,NY,11225,"1650 BEDFORD AVE
BROOKLYN, NY 11225
(40.666006424000045, -73.95679377099998)"
2018-2019,73311170,AMERICAN ACADEMY OF DRAMATIC ARTS,0.00,0.34,99.7,99.7,99.7,99.7,120 MADISON AVE,NEW YORK,NY,10016,"120 MADISON AVE
NEW YORK, NY 10016
(40.745415802000025, -73.98469816099998)"
2018-2019,41021111,SUNY COLLEGE OF TECHNOLOGY AT ALFRED,0.03,0.27,99.7,99.7,99.7,99.7,10 UPPER COLLEGE DR,ALFRED,NY,14802,"10 UPPER COLLEGE DR
ALFRED, NY 14802
(42.25876077000004, -77.79107283499997)"
2018-2019,73313307,SOTHEBY'S INSTITUTE OF ART-NEW YORK,0.00,0.6,93.5,96.4,96.4,93.5,"570 LEXINGTON AVENUE, 6TH FLOOR",NEW YORK,NY,10022,"570 LEXINGTON AVENUE, 6TH FLOOR
NEW YORK, NY 10022
(40.757085000000075, -73.97245799999996)"
2018-2019,13133022,UNIFICATION THEOLOGICAL SEMINARY - NYC,0.00,0,53.1,71.9,71.9,53.1,4 WEST 43RD STREET,NEW YORK,NY,10036,"4 WEST 43RD STREET
NEW YORK, NY 10036
(40.75427700000006, -73.98129149999994)"
2018-2019,14011334,BRYANT & STRATTON COLLEGE - ALBANY CAMPU,0.29,0.29,99.4,99.4,99.4,99.4,1259 CENTRAL AVE,ALBANY,NY,12205,"1259 CENTRAL AVE
ALBANY, NY 12205
(42.697827731000075, -73.81023306499998)"
2018-2019,54661168,THE COLLEGE OF WESTCHESTER,0.00,0,99.9,100,100,99.9,325 CENTRAL AVE,WHITE PLAINS,NY,10602,"325 CENTRAL AVE
WHITE PLAINS, NY 10602
(41.033892679000076, -73.78458035099999)"
2018-2019,23421069,ST JOSEPH'S HOSPITAL HEALTH CENTER SCHOO,0.00,0,100,100,100,100,206 PROSPECT AVE,SYRACUSE,NY,13203,"206 PROSPECT AVE
SYRACUSE, NY 13203
(43.055091219000076, -76.14876468099999)"
2018-2019,72312173,CUNY BERNARD M. BARUCH COLLEGE,0.05,0.08,99.9,99.9,99.9,99.9,17 LEXINGTON AVE,NEW YORK,NY,10010,"17 LEXINGTON AVE
NEW YORK, NY 10010
(40.73920144500005, -73.98493241499995)"
2018-2019,73332340,RABBINICAL COLLEGE BOBOVER YESHIVA B'NEI,0.00,0,100,100,100,100,1577 48TH ST.,BROOKLYN,NY,11219,"1577 48TH ST.
BROOKLYN, NY 11219
(40.631777025000076, -73.98518853699994)"
2018-2019,13013003,ALBANY LAW SCHOOL,0.21,0.42,99.4,99.4,99.4,99.4,80 NEW SCOTLAND AVE,ALBANY,NY,12208,"80 NEW SCOTLAND AVE
ALBANY, NY 12208
(42.65127000000007, -73.77775199999996)"
2018-2019,53502144,RABBINICAL COLLEGE BETH SHRAGA,0.00,6.38,91.5,91.5,91.5,91.5,28 SADDLE RIVER ROAD,MONSEY,NY,10952,"28 SADDLE RIVER ROAD
MONSEY, NY 10952
(41.11426686900006, -74.07207439099994)"
2018-2019,61282283,SUNY COLLEGE AT OLD WESTBURY,0.10,0.21,99.7,99.7,99.7,99.7,,OLD WESTBURY,NY,11568,"OLD WESTBURY, NY 11568
(40.78525220000006, -73.59645019999994)"
2018-2019,13492327,THE SAGE COLLEGES,0.24,0.1,99.3,99.3,99.3,99.3,FIRST ST,TROY,NY,12180,"FIRST ST
TROY, NY 12180
(42.71975469500006, -73.69538625199993)"
2018-2019,33262102,UNIVERSITY OF ROCHESTER,0.05,0.12,99.8,99.8,99.8,99.8,240 WALLIS HALL,ROCHESTER,NY,14627,"240 WALLIS HALL
ROCHESTER, NY 14627
(43.12855620200003, -77.62903499999999)"
2018-2019,73312182,COLUMBIA UNIVERSITY,0.08,0.15,99.8,99.8,99.8,99.8,519 W 114TH ST,NEW YORK,NY,10027,"519 W 114TH ST
NEW YORK, NY 10027
(40.80580113000008, -73.96260257099993)"
2018-2019,73313211,NEW YORK COLLEGE OF PODIATRIC MEDICINE,0.00,0,100,100,100,100,53 EAST 124TH ST,NEW YORK,NY,10035,"53 EAST 124TH ST
NEW YORK, NY 10035
(40.80478498800005, -73.94041704699998)"
2018-2019,72321231,CUNY BRONX COMMUNITY COLLEGE,0.05,0.02,99.6,99.6,99.6,99.6,UNIVERSITY AVE & WEST 181 STREET,BRONX,NY,10453,"UNIVERSITY AVE & WEST 181 STREET
BRONX, NY 10453
(40.857327000000055, -73.90962899999994)"
2018-2019,23412055,HAMILTON COLLEGE,0.05,0.05,99.9,99.9,99.9,99.9,198 COLLEGE HILL RD,CLINTON,NY,13323,"198 COLLEGE HILL RD
CLINTON, NY 13323
(43.050155403000076, -75.40233772599998)"
